order blend treatment  y
    1     1         A 34
    3     2         A 22
    2     3         A 23
    2     4         A 27
    3     5         A 28
    1     6         A 34
    4     1         B 22
    1     2         B 14
    3     3         B 19
    4     4         B 30
    4     5         B 18
    2     6         B 23
    2     1         C 25
    2     2         C 24
    1     3         C 14
    1     4         C 25
    2     5         C 22
    3     6         C 22
    3     1         D 27
    4     2         D 24
    4     3         D 16
    3     4         D 22
    1     5         D 20
    4     6         D 17
