driver car additive    y
     1   1        A 20.6
     1   1        B 21.4
     2   1        D 20.6
     2   1        C 21.4
     3   1        D 17.6
     3   1        C 16.4
     4   1        A 17.3
     4   1        B 16.7
     1   2        B 25.0
     1   2        D 27.0
     2   2        C 25.5
     2   2        A 26.5
     3   2        C 14.3
     3   2        A 13.7
     4   2        B 13.8
     4   2        D 14.2
     1   3        A 18.8
     1   3        B 19.2
     2   3        D 22.9
     2   3        C 23.1
     3   3        D 14.8
     3   3        C 15.2
     4   3        A 18.2
     4   3        B 19.8
     1   4        B 26.3
     1   4        D 25.7
     2   4        C 25.8
     2   4        A 26.2
     3   4        C 13.5
     3   4        A 14.5
     4   4        B 22.3
     4   4        D 21.7
