phase rate time    y
    1   82 2:50 35.2
    1   93 3:10 36.0
    1   88 3:00 36.6
    1   82 2:50 36.2
    1   93 3:10 55.2
    2   78 2:35 40.8
    2   98 3:25 41.0
    2   88 3:00 38.8
    2   78 2:35 38.8
    2   98 3:25 39.8
    3   88 2:30 44.0
    3   88 3:00 44.8
    3   88 2:45 41.8
    3   88 2:30 39.2
    3   88 3:00 40.0
    4   68 2:45 45.2
    4   88 2:45 43.6
    4   78 2:45 42.0
    4   68 2:45 39.6
    4   88 2:45 40.8
    5   78 2:15 39.8
    5   78 2:45 40.2
    5   78 2:30 37.6
    5   78 2:15 36.4
    5   78 2:45 37.6
