position subject treatment   y
       1       1         A  32
       1       2         B  40
       1       3         C  72
       1       4         D  43
       1       5         E  35
       1       6         F  50
       2       1         B  29
       2       2         A  37
       2       3         F  59
       2       4         E  53
       2       5         D  32
       2       6         C  53
       3       1         C  40
       3       2         D  56
       3       3         A  53
       3       4         B  48
       3       5         F  37
       3       6         E  43
       4       1         D  29
       4       2         F  59
       4       3         E  67
       4       4         A  56
       4       5         C  38
       4       6         B  42
       5       1         E  28
       5       2         C  50
       5       3         B 100
       5       4         F  46
       5       5         A  29
       5       6         D  56
       6       1         F  37
       6       2         E  42
       6       3         D  67
       6       4         C  50
       6       5         B  33
       6       6         A  48
