run x1 x2 x3 x4   y1    y2
  1  H  H  H  H 41.6 100.0
  2  H  H  H  L 39.9  68.6
  3  H  H  L  H 51.9  89.8
  4  H  H  L  L 43.0  82.2
  5  H  L  H  H 39.2 100.0
  6  H  L  H  L 37.5  66.0
  7  H  L  L  H 50.2  86.3
  8  H  L  L  L 41.3  82.0
  9  L  H  H  H 41.3 100.0
 10  L  H  H  L 39.7  67.7
 11  L  H  L  H 52.4  84.1
 12  L  H  L  L 44.9  82.1
 13  L  L  H  H 38.4 100.0
 14  L  L  H  L 35.0  61.7
 15  L  L  L  H 51.3  83.7
 16  L  L  L  L 43.5  82.0
 17  M  M  M  M 45.3  88.9
