runs  A  B  C  D  E    y1     y2   y3
  12 -1 -1 -1 -1  1 23.43 141.61 3318
   1  1 -1 -1 -1 -1 25.70 161.13 4141
   2 -1  1 -1 -1 -1 27.75 136.54 3790
   6  1  1 -1 -1  1 31.60 128.52 4061
  15 -1 -1  1 -1 -1 23.57 145.55 3431
   8  1 -1  1 -1  1 27.68 123.75 3425
   7 -1  1  1 -1  1 28.76 121.93 3507
   4  1  1  1 -1 -1 31.82 120.37 3765
  11 -1 -1 -1  1 -1 27.09  95.24 2580
  14  1 -1 -1  1  1 31.28  78.31 2450
   3 -1  1 -1  1  1 31.20  74.34 2319
  16  1  1 -1  1 -1 33.42  91.76 3067
  13 -1 -1  1  1  1 29.51  65.23 1925
  10  1 -1  1  1 -1 31.35  78.65 2466
   5 -1  1  1  1 -1 31.16  79.76 2485
   9  1  1  1  1  1 33.65  72.80 2450
