 n clay mold    y
1     1    A 0.53
2     1    B 0.58
3     1    C 0.43
4     2    A 1.18
5     2    B 1.31
6     2    C 0.56
7     3    A 0.81
8     3    B 0.95
9     3    C 0.61
10    1    A 0.68
11    1    B 0.51
12    1    C 0.42
13    2    A 1.52
14    2    B 0.94
15    2    C 0.65
16    3    A 1.14
17    3    B 1.55
18    3    C 0.69
19    1    A 0.69
20    1    B 0.63
21    1    C 0.39
22    2    A 1.26
23    2    B 0.79
24    2    C 0.66
25    3    A 1.08
26    3    B 1.14
27    3    C 0.62
28    1    A 0.66
29    1    B 0.44
30    1    C 0.44
31    2    A 1.07
32    2    B 1.69
33    2    C 0.55
34    3    A 1.03
35    3    B 0.72
36    3    C 0.65
37    1    A 0.64
38    1    B 0.54
39    1    C 0.42
40    2    A 1.26
41    2    B 1.89
42    2    C 0.61
43    3    A 1.01
44    3    B 1.09
45    3    C 0.65
