run position treatment subject   y
  1        I         A       1  32
  2       II         B       1  29
  3      III         C       1  42
  4       IV         D       1  29
  5        V         E       1  28
  6       VI         F       1  37
  7        I         B       2  40
  8       II         A       2  37
  9      III         D       2  56
 10       IV         F       2  59
 11        V         C       2  50
 12       VI         E       2  42
 13        I         C       3  72
 14       II         F       3  59
 15      III         A       3  83
 16       IV         E       3  47
 17        V         B       3 100
 18       VI         D       3  67
 19        I         D       4  43
 20       II         E       4  52
 21      III         B       4  48
 22       IV         A       4  56
 23        V         F       4  46
 24       VI         C       4  50
 25        I         E       5  35
 26       II         D       5  32
 27      III         F       5  37
 28       IV         C       5  38
 29        V         A       5  29
 30       VI         B       5  33
 31        I         F       6  50
 32       II         C       6  53
 33      III         E       6  43
 34       IV         B       6  42
 35        V         D       6  56
 36       VI         A       6  48
