order    X1 X2  X3 X4    y
    5 0.250  4 200 60 84.5
    6 1.000  4 200 60 62.9
    3 0.250  8 200 60 90.7
    7 1.000  8 200 60 63.2
    4 0.625  6 175 45 70.9
    9 0.625  6 225 45 69.2
    1 0.625  6 175 75 80.1
    2 0.625  6 225 75 79.8
    8 0.625  6 200 60 75.1
   17 0.250  6 200 45 81.8
   13 1.000  6 200 45 61.8
   11 0.250  6 200 75 92.2
   14 1.000  6 200 75 70.7
   10 0.625  4 175 60 72.4
   12 0.625  8 175 60 76.4
   18 0.625  4 225 60 71.9
   15 0.625  8 225 60 74.9
   16 0.625  6 200 60 74.5
   25 0.250  6 175 60 88.0
   27 1.000  6 175 60 63.0
   22 0.250  6 225 60 86.7
   19 1.000  6 225 60 65.0
   26 0.625  4 200 45 69.4
   21 0.625  8 200 45 71.2
   24 0.625  4 200 75 77.3
   23 0.625  8 200 75 81.1
   20 0.625  6 200 60 73.0
