run   x1 x2  x3  x4    y
  1  9.6 40 305 4.5 0.51
  2 32.5 40 305 4.5 0.28
  3  9.6 70 305 4.5 0.65
  4 32.5 70 305 4.5 0.51
  5  9.6 40 335 4.5 0.24
  6 32.5 40 335 4.5 0.38
  7  9.6 70 335 4.5 0.45
  8 32.5 70 335 4.5 0.49
  9  9.6 40 305 7.5 0.30
 10 32.5 40 305 7.5 0.35
 11  9.6 70 305 7.5 0.45
 12 32.5 70 305 7.5 0.82
 13  9.6 40 335 7.5 0.24
 14 32.5 40 335 7.5 0.54
 15  9.6 70 335 7.5 0.35
 16 32.5 70 335 7.5 0.51
 17 60.0 55 320 6.0 0.53
 18  5.0 55 320 6.0 0.56
 19 17.5 85 320 6.0 0.67
 20 17.5 25 320 6.0 0.45
 21 17.5 25 350 6.0 0.41
 22 17.5 25 290 6.0 0.23
 23 17.5 25 320 9.0 0.41
 24 17.5 25 320 3.0 0.47
 25 17.5 25 320 6.0 0.32
