  n  obs ave10
1   85.5    NA
2   81.7    NA
3   80.6    NA
4   84.7    NA
5   88.2    NA
6   84.9    NA
7   81.8    NA
8   84.9    NA
9   85.2    NA
10  81.9 83.94
11  89.4 84.33
12  79.0 84.06
13  81.4 84.14
14  84.8 84.15
15  85.9 83.92
16  88.0 84.23
17  80.3 84.08
18  82.6 83.85
19  83.5 83.68
20  80.2 83.51
21  85.2 83.09
22  87.2 83.91
23  83.5 84.12
24  84.3 84.07
25  82.9 83.77
26  84.7 83.44
27  82.9 83.70
28  81.5 83.59
29  83.4 83.58
30  87.7 84.33
31  81.8 83.99
32  79.6 83.23
33  85.8 83.46
34  77.9 82.82
35  89.7 83.50
36  85.4 83.57
37  86.3 83.91
38  80.7 83.83
39  83.8 83.87
40  90.5 84.15
41  84.5 84.42
42  82.4 84.70
43  86.7 84.79
44  83.0 85.30
45  81.8 84.51
46  89.3 84.90
47  79.3 84.20
48  82.7 84.40
49  88.0 84.82
50  79.6 83.73
51  87.8 84.06
52  83.6 84.18
53  79.5 83.46
54  83.3 83.49
55  88.4 84.15
56  86.6 83.88
57  84.6 84.41
58  79.7 84.11
59  86.0 83.91
60  84.2 84.37
61  83.0 83.89
62  84.8 84.01
63  83.6 84.42
64  81.8 84.27
65  85.9 84.02
66  88.2 84.18
67  83.5 84.07
68  87.2 84.82
69  83.7 84.59
70  87.3 84.90
71  83.0 84.90
72  90.5 85.47
73  80.7 85.18
74  83.1 85.31
75  86.5 85.37
76  90.0 85.55
77  77.5 84.95
78  84.7 84.70
79  84.6 84.79
80  87.2 84.78
81  80.5 84.53
82  86.1 84.09
83  82.6 84.28
84  85.4 84.51
85  84.7 84.33
86  82.8 83.61
87  81.9 84.05
88  83.6 83.94
89  86.8 84.16
90  84.0 83.84
91  84.2 84.21
92  82.8 83.88
93  83.0 83.92
94  82.0 83.58
95  84.7 83.58
96  84.4 83.74
97  88.9 84.44
98  82.4 84.32
99  83.0 83.94
100 85.0 84.04
101 82.2 83.84
102 81.6 83.72
103 86.2 84.04
104 85.4 84.38
105 82.1 84.12
106 81.4 83.82
107 85.0 83.43
108 85.8 83.77
109 84.2 83.89
110 83.5 83.74
111 86.5 84.17
112 85.0 84.51
113 80.4 83.93
114 85.7 83.96
115 86.7 84.42
116 86.7 84.95
117 82.3 84.68
118 86.4 84.74
119 82.5 84.57
120 82.0 84.42
121 79.5 83.72
122 86.7 83.89
123 80.5 83.90
124 91.7 84.50
125 81.6 83.99
126 83.9 83.71
127 85.6 84.04
128 84.8 83.88
129 78.4 83.47
130 89.9 84.26
131 85.0 84.81
132 86.2 84.76
133 83.0 85.01
134 85.4 84.38
135 84.4 84.66
136 84.5 84.72
137 86.2 84.78
138 85.6 84.86
139 83.2 85.34
140 85.7 84.92
141 83.5 84.77
142 80.1 84.16
143 82.2 84.08
144 88.6 84.40
145 82.0 84.16
146 85.0 84.21
147 85.2 84.11
148 85.3 84.08
149 84.3 84.19
150 82.3 83.85
151 89.7 84.47
152 84.8 84.94
153 83.1 85.03
154 80.6 84.23
155 87.4 84.77
156 86.8 84.95
157 83.5 84.78
158 86.2 84.87
159 84.1 84.85
160 82.3 84.85
161 84.8 84.36
162 86.6 84.54
163 83.5 84.58
164 78.1 84.33
165 88.8 84.47
166 81.9 83.98
167 83.3 83.96
168 80.0 83.34
169 87.2 83.65
170 83.3 83.75
171 86.6 83.93
172 79.5 83.22
173 84.1 83.28
174 82.2 83.69
175 90.8 83.89
176 86.5 84.35
177 79.7 83.99
178 81.0 84.09
179 87.2 84.09
180 81.6 83.92
181 84.4 83.70
182 84.4 84.19
183 82.2 84.00
184 88.9 84.67
185 80.9 83.68
186 85.1 83.54
187 87.1 84.28
188 84.0 84.58
189 76.5 83.51
190 82.7 83.62
191 85.1 83.69
192 83.3 83.58
193 90.4 84.40
194 81.0 83.61
195 80.3 83.55
196 79.8 83.02
197 89.0 83.21
198 83.7 83.18
199 80.9 83.62
200 87.3 84.08
201 81.1 83.68
202 85.6 83.91
203 86.6 83.53
204 80.0 83.43
205 86.6 84.06
206 83.3 84.41
207 83.1 83.82
208 82.3 83.68
209 86.7 84.26
210 80.2 83.55
