block position treatment   y
    2        a         A 344
    4        b         A 337
    6        g         A 369
    7        d         A 396
    1        a         B 627
    4        d         B 537
    5        g         B 520
    7        b         B 602
    2        b         C 233
    3        a         C 251
    5        d         C 278
    7        g         C 240
    1        b         D 248
    3        g         D 211
    6        d         D 196
    7        a         D 273
    3        d         E 160
    4        g         E 195
    5        b         E 199
    6        a         E 185
    1        g         F 563
    2        d         F 442
    5        a         F 595
    6        b         F 606
    1        d         G 252
    2        g         G 226
    3        b         G 297
    4        a         G 300
