yatesOrd x1 x2 x3 x4 conversion randomOrd
       1 -1 -1 -1 -1         70         8
       2  1 -1 -1 -1         60         2
       3 -1  1 -1 -1         89        10
       4  1  1 -1 -1         81         4
       5 -1 -1  1 -1         69        15
       6  1 -1  1 -1         62         9
       7 -1  1  1 -1         88         1
       8  1  1  1 -1         81        13
       9 -1 -1 -1  1         60        16
      10  1 -1 -1  1         49         5
      11 -1  1 -1  1         88        11
      12  1  1 -1  1         82        14
      13 -1 -1  1  1         60         3
      14  1 -1  1  1         52        12
      15 -1  1  1  1         86         6
      16  1  1  1  1         79         7
