I x1 x2 x3 x4 x12 x13 x14 x23 x24 x34 x123 x124 x134 x234 x1234 conversion
1 -1 -1 -1 -1   1   1   1   1   1   1   -1   -1   -1   -1     1         70
1  1 -1 -1 -1  -1  -1  -1   1   1   1    1    1    1   -1    -1         60
1 -1  1 -1 -1  -1   1   1  -1  -1   1    1    1   -1    1    -1         89
1  1  1 -1 -1   1  -1  -1  -1  -1   1   -1   -1    1    1     1         81
1 -1 -1  1 -1   1  -1   1  -1   1  -1    1   -1    1    1    -1         69
1  1 -1  1 -1  -1   1  -1  -1   1  -1   -1    1   -1    1     1         62
1 -1  1  1 -1  -1  -1   1   1  -1  -1   -1    1    1   -1     1         88
1  1  1  1 -1   1   1  -1   1  -1  -1    1   -1   -1   -1    -1         81
1 -1 -1 -1  1   1   1  -1   1  -1  -1   -1    1    1    1    -1         60
1  1 -1 -1  1  -1  -1   1   1  -1  -1    1   -1   -1    1     1         49
1 -1  1 -1  1  -1   1  -1  -1   1  -1    1   -1    1   -1     1         88
1  1  1 -1  1   1  -1   1  -1   1  -1   -1    1   -1   -1    -1         82
1 -1 -1  1  1   1  -1  -1  -1  -1   1    1    1   -1   -1     1         60
1  1 -1  1  1  -1   1   1  -1  -1   1   -1   -1    1   -1    -1         52
1 -1  1  1  1  -1  -1  -1   1   1   1   -1   -1   -1    1    -1         86
1  1  1  1  1   1   1   1   1   1   1    1    1    1    1     1         79
