run  A  B  C  D  E  y
  1 -1 -1 -1 -1 -1 61
  2  1 -1 -1 -1 -1 53
  3 -1  1 -1 -1 -1 63
  4  1  1 -1 -1 -1 61
  5 -1 -1  1 -1 -1 53
  6  1 -1  1 -1 -1 56
  7 -1  1  1 -1 -1 54
  8  1  1  1 -1 -1 61
  9 -1 -1 -1  1 -1 69
 10  1 -1 -1  1 -1 61
 11 -1  1 -1  1 -1 94
 12  1  1 -1  1 -1 93
 13 -1 -1  1  1 -1 66
 14  1 -1  1  1 -1 60
 15 -1  1  1  1 -1 95
 16  1  1  1  1 -1 98
 17 -1 -1 -1 -1  1 56
 18  1 -1 -1 -1  1 63
 19 -1  1 -1 -1  1 70
 20  1  1 -1 -1  1 65
 21 -1 -1  1 -1  1 59
 22  1 -1  1 -1  1 55
 23 -1  1  1 -1  1 67
 24  1  1  1 -1  1 65
 25 -1 -1 -1  1  1 44
 26  1 -1 -1  1  1 45
 27 -1  1 -1  1  1 78
 28  1  1 -1  1  1 77
 29 -1 -1  1  1  1 49
 30  1 -1  1  1  1 42
 31 -1  1  1  1  1 81
 32  1  1  1  1  1 82
