run  A  B  C  D  E  F  G  H  y1 y2
  1 -1 -1 -1 -1 -1 -1 -1 -1 53 6.3
  2  1 -1 -1 -1  1  1  1 -1 60 6.1
  3 -1  1 -1 -1  1  1 -1  1 68 5.5
  4  1  1 -1 -1 -1 -1  1  1 78 2.1
  5 -1 -1  1 -1  1 -1  1  1 48 6.9
  6  1 -1  1 -1 -1  1 -1  1 67 5.1
  7 -1  1  1 -1 -1  1  1 -1 55 6.4
  8  1  1  1 -1  1 -1 -1 -1 78 2.5
  9 -1 -1 -1  1 -1  1  1  1 49 8.2
 10  1 -1 -1  1  1 -1 -1  1 68 3.1
 11 -1  1 -1  1  1 -1  1 -1 61 4.3
 12  1  1 -1  1 -1  1 -1 -1 81 3.2
 13 -1 -1  1  1  1  1 -1 -1 52 7.1
 14  1 -1  1  1 -1 -1  1 -1 70 3.4
 15 -1  1  1  1 -1 -1 -1  1 65 3.0
 16  1  1  1  1  1  1  1  1 82 2.8
