run  A  B  C  D  E  F  G  H  J  K  L  M  N  O  P  ave  var
  1 -1 -1 -1 -1  1  1  1  1  1  1 -1 -1 -1 -1  1 48.5 16.3
  2  1 -1 -1 -1 -1 -1 -1  1  1  1  1  1  1 -1 -1 57.5  4.3
  3 -1  1 -1 -1 -1  1  1 -1 -1  1  1  1 -1  1 -1  8.8  2.9
  4  1  1 -1 -1  1 -1 -1 -1 -1  1 -1 -1  1  1  1 17.5  3.0
  5 -1 -1  1 -1  1 -1  1 -1  1 -1  1 -1  1  1 -1 19.5 20.3
  6  1 -1  1 -1 -1  1 -1 -1  1 -1 -1  1 -1  1  1 14.5  5.7
  7 -1  1  1 -1 -1 -1  1  1 -1 -1 -1  1  1 -1  1 22.5  7.0
  8  1  1  1 -1  1  1 -1  1 -1 -1  1 -1 -1 -1 -1 17.5  9.0
  9 -1 -1 -1  1  1  1 -1  1 -1 -1 -1  1  1  1 -1 12.5 19.7
 10  1 -1 -1  1 -1 -1  1  1 -1 -1  1 -1 -1  1  1 12.0 58.0
 11 -1  1 -1  1 -1  1 -1 -1  1 -1  1 -1  1 -1  1 45.5 13.7
 12  1  1 -1  1  1 -1  1 -1  1 -1 -1  1 -1 -1 -1 53.5  0.3
 13 -1 -1  1  1  1 -1 -1 -1 -1  1  1  1 -1 -1  1 17.0 10.7
 14  1 -1  1  1 -1  1  1 -1 -1  1 -1 -1  1 -1 -1 27.5  3.7
 15 -1  1  1  1 -1 -1 -1  1  1  1 -1 -1 -1  1 -1 34.2 22.9
 16  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 58.2 10.9
