runPB runFF  A  B  C  D  E  F  G  H  J  K  L  y
    1     6  1 -1  1 -1 -1 -1  1  1  1 -1  1 56
    2    12  1  1 -1  1 -1 -1 -1  1  1  1 -1 93
    3    23 -1  1  1 -1  1 -1 -1 -1  1  1  1 67
    4    14  1 -1  1  1 -1  1 -1 -1 -1  1  1 60
    5    28  1  1 -1  1  1 -1  1 -1 -1 -1  1 77
    6    24  1  1  1 -1  1  1 -1  1 -1 -1 -1 65
    7    15 -1  1  1  1 -1  1  1 -1  1 -1 -1 95
    8    29 -1 -1  1  1  1 -1  1  1 -1  1 -1 49
    9    25 -1 -1 -1  1  1  1 -1  1  1 -1  1 44
   10    18  1 -1 -1 -1  1  1  1 -1  1  1 -1 63
   11     3 -1  1 -1 -1 -1  1  1  1 -1  1  1 63
   12     1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 61
