runs  A  B  C  D  E  F  G x8 x9 x10 x11 logLife
   1  1  1 -1  1  1  1 -1 -1 -1   1  -1    6.06
   2  1 -1  1  1  1 -1 -1 -1  1  -1   1    4.73
   3 -1  1  1  1 -1 -1 -1  1 -1   1   1    4.63
   4  1  1  1 -1 -1 -1  1 -1  1   1  -1    5.90
   5  1  1 -1 -1 -1  1 -1  1  1  -1   1    7.00
   6  1 -1 -1 -1  1 -1  1  1 -1   1   1    5.75
   7 -1 -1 -1  1 -1  1  1 -1  1   1   1    5.68
   8 -1 -1  1 -1  1  1 -1  1  1   1  -1    6.61
   9 -1  1 -1  1  1 -1  1  1  1  -1  -1    5.82
  10  1 -1  1  1 -1  1  1  1 -1  -1  -1    5.92
  11 -1  1  1 -1  1  1  1 -1 -1  -1   1    5.86
  12 -1 -1 -1 -1 -1 -1 -1 -1 -1  -1  -1    4.81
