run  A  B  C  D  E  F  G  H    y
  1 -1 -1 -1  1  1  1 -1  1 14.0
  2  1 -1 -1 -1 -1  1  1  1 16.8
  3 -1  1 -1 -1  1 -1  1  1 15.0
  4  1  1 -1  1 -1 -1 -1  1 15.4
  5 -1 -1  1  1 -1 -1  1  1 27.6
  6  1 -1  1 -1  1 -1 -1  1 24.0
  7 -1  1  1 -1 -1  1 -1  1 27.4
  8  1  1  1  1  1  1  1  1 22.6
  9  1  1  1 -1 -1 -1  1 -1 22.2
 10 -1  1  1  1  1 -1 -1 -1 17.1
 11  1 -1  1  1 -1  1 -1 -1 21.5
 12 -1 -1  1 -1  1  1  1 -1 17.5
 13  1  1 -1 -1  1  1 -1 -1 15.9
 14 -1  1 -1  1 -1  1  1 -1 21.9
 15  1 -1 -1  1  1 -1  1 -1 16.7
 16 -1 -1 -1 -1 -1 -1 -1 -1 20.3
