run  A  B  C  D  E  y    S1    S2    S3    S4
  1 -1 -1 -1 -1 -1 61  2.74 15.55 13.58  3.80
  2  1 -1 -1 -1 -1 53  1.93  6.61  6.92  2.72
  3 -1  1 -1 -1 -1 63  3.29 25.90 14.81 26.79
  4  1  1 -1 -1 -1 61  6.20 48.30 22.83 26.95
  5 -1 -1  1 -1 -1 53  1.89 11.29 13.37 12.99
  6  1 -1  1 -1 -1 56  1.95  9.45  9.28 12.52
  7 -1  1  1 -1 -1 54  2.31  9.73 12.72  7.66
  8  1  1  1 -1 -1 61  4.50 33.94 21.11  8.81
  9 -1 -1 -1  1 -1 69  4.81 37.01 11.93  2.57
 10  1 -1 -1  1 -1 61  7.18 55.39  2.49  1.76
 11 -1  1 -1  1 -1 94  7.67 51.58 29.76  6.41
 12  1  1 -1  1 -1 93 11.12 18.78 24.22  6.28
 13 -1 -1  1  1 -1 66  0.42  1.80  2.10  1.53
 14  1 -1  1  1 -1 60  3.67 25.00  7.44  2.13
 15 -1  1  1  1 -1 95  3.62 27.11 28.18 50.35
 16  1  1  1  1 -1 98  6.51 30.66 23,82 49.79
 17 -1 -1 -1 -1  1 56  3.48 22.26 14.56 13.22
 18  1 -1 -1 -1  1 63  2.45 12.65  9.29 12.80
 19 -1  1 -1 -1  1 70  0.64  1.45  2.05  1.36
 20  1  1 -1 -1  1 65  3.60 24.42 14.78  2.21
 21 -1 -1  1 -1  1 59  2.46 13.91 11.39  2.92
 22  1 -1  1 -1  1 55  1.33  4.74  4.92  1.84
 23 -1  1  1 -1  1 67  2.49 17.18 10.99 10.78
 24  1  1  1 -1  1 65  3,51 24.53 15.92 10.72
 25 -1 -1 -1  1  1 44  6.03 17.66 20.35  8.30
 26  1 -1 -1  1  1 45  6.52 47.62 16.98  9.75
 27 -1  1 -1  1  1 78  5.63 43.18 18.40 18.34
 28  1  1 -1  1  1 77  7.20 37.59 18.41 18.11
 29 -1 -1  1  1  1 49  3.80 26.26 17.50 21.98
 30  1 -1  1  1  1 42  3.14 28.75 17.46 22.53
 31 -1  1  1  1  1 81  3.30 27.59 17.92  3.07
 32  1  1  1  1  1 82  4.09  5.80  7.73  1.91
