Run  A  B  C  D  E  F  G  H J3 K3 L3 M3 P3 Q3 R3
  1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1  1  1
  2  1 -1 -1 -1  1  1  1 -1 -1  1 -1 -1 -1  1 -1
  3 -1  1 -1 -1  1  1 -1  1 -1 -1  1 -1  1 -1 -1
  4  1  1 -1 -1 -1 -1  1  1 -1 -1 -1  1 -1 -1  1
  5 -1 -1  1 -1  1 -1  1  1  1  1  1 -1 -1 -1  1
  6  1 -1  1 -1 -1  1 -1  1  1 -1  1  1 -1  1 -1
  7 -1  1  1 -1 -1  1  1 -1  1  1 -1  1  1 -1 -1
  8  1  1  1 -1  1 -1 -1 -1 -1  1  1  1  1  1  1
  9 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1
 10  1 -1 -1  1  1 -1 -1  1  1  1 -1  1  1 -1 -1
 11 -1  1 -1  1  1 -1  1 -1  1 -1  1  1 -1  1 -1
 12  1  1 -1  1 -1  1 -1 -1  1  1  1 -1 -1 -1  1
 13 -1 -1  1  1  1  1 -1 -1 -1 -1 -1  1 -1 -1  1
 14  1 -1  1  1 -1 -1  1 -1 -1 -1  1 -1  1 -1 -1
 15 -1  1  1  1 -1 -1 -1  1 -1  1 -1 -1 -1  1 -1
 16  1  1  1  1  1  1  1  1  1 -1 -1 -1  1  1  1
