order heads period days shifts  y
    2     1     P1    1      A 20
    2     1     P2    1      B 16
    5     1     P3    1      C 25
    5     1     P4    2      A 18
    1     1     P5    2      B 21
    2     1     P6    2      C 19
    1     2     P1    1      A 14
    3     2     P2    1      B 19
    2     2     P3    1      C 32
    4     2     P4    2      A 22
    2     2     P5    2      B 22
    3     2     P6    2      C 28
    4     3     P1    1      A 17
    5     3     P2    1      B 16
    3     3     P3    1      C 31
    1     3     P4    2      A  9
    4     3     P5    2      B 16
    5     3     P6    2      C 22
    5     4     P1    1      A 12
    1     4     P2    1      B 17
    4     4     P3    1      C 24
    3     4     P4    2      A 15
    5     4     P5    2      B 20
    1     4     P6    2      C 29
    3     5     P1    1      A 22
    4     5     P2    1      B 21
    1     5     P3    1      C 24
    2     5     P4    2      A 17
    3     5     P5    2      B 17
    2     5     P6    2      C 29
