run    x1  x2   x3    y
1    10.2 3.5 16.0 27.6
2     9.2 3.3 15.2 14.8
3     8.3 2.5 15.5 17.1
4     7.7 2.2 15.2 13.9
5     7.5 2.4 15.5 20.0
6     8.0 1.3 14.6 26.6
7     6.9 1.9 16.0 20.3
8     9.9 3.6 15.9 19.7
9     8.6 2.3 15.6 25.7
10    9.7 3.0 16.0 23.2
11   11.1 5.0 15.2 25.8
12   11.0 4.3 16.8 33.6
13   10.1 4.2 15.5 24.2
14   10.1 3.2 16.5 28.6
15    9.5 3.3 16.0 29.3
16    8.5 3.0 16.8 26.0
17    8.6 2.6 14.9 18.0
18   10.3 3.2 16.4 39.2
19    9.7 3.4 16.0 25.9
20    6.9 1.3 14.6 25.3
