run z1 z2 z3   x1  x2   x3    y y.ybar
  1  1  0  0 10.2 3.5 16.0 27.6   7.60
  2  1  0  0  9.2 3.3 15.2 14.8  -5.20
  3  1  0  0  8.3 2.5 15.5 17.1  -2.90
  4  1  0  0  7.7 2.2 15.2 13.9  -6.10
  5  1  0  0  7.5 2.4 15.5 20.0   0.00
  6  1  0  0  8.0 1.3 14.6 26.6   6.60
  7  1  0  0  6.9 1.9 16.0 20.3   0.30
  8  1  0  0  9.9 3.6 15.9 19.7  -0.30
  9  1  1  0  8.6 2.3 15.6 25.7  -0.80
 10  1  1  0  9.7 3.0 16.0 23.2  -3.30
 11  1  1  0 11.1 5.0 15.2 25.8  -0.70
 12  1  1  0 11.0 4.3 16.8 33.6   7.10
 13  1  1  0 10.1 4.2 15.5 24.2  -2.30
 14  1  0  1 10.1 3.2 16.5 28.6   1.13
 15  1  0  1  9.5 3.3 16.0 29.3   1.83
 16  1  0  1  8.5 3.0 16.8 26.0  -1.47
 17  1  0  1  8.6 2.6 14.9 18.0  -9.47
 18  1  0  1 10.3 3.2 16.4 39.2  11.73
 19  1  0  1  9.7 3.4 16.0 25.9  -1.57
 20  1  0  1  6.9 1.3 14.6 25.3  -2.17
