run x0 x1 x2 x3 x11 x22 x33 x12 x13 x23  x1d  x2d  x3d
  1  1 -1 -1 -1   1   1   1   1   1   1  1.5  1.5  1.5
  2  1  1 -1 -1   1   1   1  -1  -1   1 -1.5  1.5  1.5
  3  1 -1  1 -1   1   1   1  -1   1  -1  1.5 -1.5  1.5
  4  1  1  1 -1   1   1   1   1  -1  -1 -1.5 -1.5  1.5
  5  1 -1 -1  1   1   1   1   1  -1  -1  1.5  1.5 -1.5
  6  1  1 -1  1   1   1   1  -1   1  -1 -1.5  1.5 -1.5
  7  1 -1  1  1   1   1   1  -1  -1   1  1.5 -1.5 -1.5
  8  1  1  1  1   1   1   1   1   1   1 -1.5 -1.5 -1.5
  9  1 -2  0  0   4   0   0   0   0   0 -3.0  0.0  0.0
 10  1  2  0  0   4   0   0   0   0   0  3.0  0.0  0.0
 11  1  0 -2  0   0   4   0   0   0   0  0.0 -3.0  0.0
 12  1  0  2  0   0   4   0   0   0   0  0.0  3.0  0.0
 13  1  0  0 -2   0   0   4   0   0   0  0.0  0.0 -3.0
 14  1  0  0  2   0   0   4   0   0   0  0.0  0.0  3.0
 15  1  0  0  0   0   0   0   0   0   0  0.0  0.0  0.0
