run x1 x2 x3 x4 x5
  1 -1 -1  0  0  0
  2  1 -1  0  0  0
  3 -1  1  0  0  0
  4  1  1  0  0  0
  5  0  0 -1 -1  0
  6  0  0  1 -1  0
  7  0  0 -1  1  0
  8  0  0  1  1  0
  9  0 -1  0  0 -1
 10  0  1  0  0 -1
 11  0 -1  0  0  1
 12  0  1  0  0  1
 13 -1  0 -1  0  0
 14  1  0 -1  0  0
 15 -1  0  1  0  0
 16  1  0  1  0  0
 17  0  0  0 -1 -1
 18  0  0  0  1 -1
 19  0  0  0 -1  1
 20  0  0  0  1  1
 21  0 -1 -1  0  0
 22  0  1 -1  0  0
 23  0 -1  1  0  0
 24  0  1  1  0  0
 25 -1  0  0 -1  0
 26  1  0  0 -1  0
 27 -1  0  0  1  0
 28  1  0  0  1  0
 29  0  0 -1  0 -1
 30  0  0  1  0 -1
 31  0  0 -1  0  1
 32  0  0  1  0  1
 33 -1  0  0  0 -1
 34  1  0  0  0 -1
 35 -1  0  0  0  1
 36  1  0  0  0  1
 37  0 -1  0 -1  0
 38  0  1  0 -1  0
 39  0 -1  0  1  0
 40  0  1  0  1  0
 41  0  0  0  0  0
