run x0 x10 x20 x1 x2 x3 x4    y
  1  1   1   0 -1 -1  0  0 84.7
  2  1   1   0  1 -1  0  0 93.3
  3  1   1   0 -1  1  0  0 84.2
  4  1   1   0  1  1  0  0 86.1
  5  1   1   0  0  0 -1 -1 85.7
  6  1   1   0  0  0  1 -1 96.4
  7  1   1   0  0  0 -1  1 88.1
  8  1   1   0  0  0  1  1 81.8
  9  1   1   0  0  0  0  0 93.8
 10  1   0   1 -1  0  0 -1 89.4
 11  1   0   1  1  0  0 -1 88.7
 12  1   0   1 -1  0  0  1 77.8
 13  1   0   1  1  0  0  1 80.9
 14  1   0   1  0 -1 -1  0 80.9
 15  1   0   1  0  1 -1  0 79.8
 16  1   0   1  0 -1  1  0 86.8
 17  1   0   1  0  1  1  0 79.0
 18  1   0   1  0  0  0  0 87.3
 19  1   0   0  0 -1  0 -1 86.1
 20  1   0   0  0  1  0 -1 87.9
 21  1   0   0  0 -1  0  1 85.1
 22  1   0   0  0  1  0  1 76.4
 23  1   0   0 -1  0 -1  0 79.7
 24  1   0   0  1  0 -1  0 92.5
 25  1   0   0 -1  0  1  0 89.4
 26  1   0   0  1  0  1  0 86.9
 27  1   0   0  0  0  0  0 90.7
