run x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13
  1 -1 -1 -1 -1 -1 -1 -1 -1 -1  -1  -1  -1  -1
  2 -1 -1 -1 -1  0  0  0  0  0   0   0   0   0
  3 -1 -1 -1 -1  1  1  1  1  1   1   1   1   1
  4 -1  0  0  0 -1 -1 -1  0  0   0   1   1   1
  5 -1  0  0  0  0  0  0  1  1   1  -1  -1  -1
  6 -1  0  0  0  1  1  1 -1 -1  -1   0   0   0
  7 -1  1  1  1 -1 -1 -1  1  1   1   0   0   0
  8 -1  1  1  1  0  0  0 -1 -1  -1   1   1   1
  9 -1  1  1  1  1  1  1  0  0   0  -1  -1  -1
 10  0 -1  0  1 -1  0  1 -1  0   1  -1   0   1
 11  0 -1  0  1  0  1 -1  0  1  -1   0   1  -1
 12  0 -1  0  1  1 -1  0  1 -1   0   1  -1   0
 13  0  0  1 -1 -1  0  1  0  1  -1   1  -1   0
 14  0  0  1 -1  0  1 -1  1 -1   0  -1   0   1
 15  0  0  1 -1  1 -1  0 -1  0   1   0   1  -1
 16  0  1 -1  0 -1  0  1  1 -1   0   0   1  -1
 17  0  1 -1  0  0  1 -1 -1  0   1   1  -1   0
 18  0  1 -1  0  1 -1  0  0  1  -1  -1   0   1
 19  1 -1  1  0 -1  1  0 -1  1   0  -1   1   0
 20  1 -1  1  0  0 -1  1  0 -1   1   0  -1   1
 21  1 -1  1  0  1  0 -1  1  0  -1   1   0  -1
 22  1  0 -1  1 -1  1  0  0 -1   1   1   0  -1
 23  1  0 -1  1  0 -1  1  1  0  -1  -1   1   0
 24  1  0 -1  1  1  0 -1 -1  1   0   0  -1   1
 25  1  1  0 -1 -1  1  0  1  0  -1   0  -1   1
 26  1  1  0 -1  0 -1  1 -1  1   0   1   0  -1
 27  1  1  0 -1  1  0 -1  0 -1   1  -1   1   0
