run x1 x2 x3 x4 x5 x6 x7 x8 ave sdev log100s
  1 -1 -1 -1 -1 -1 -1 -1 -1 236  2.1      32
  2  1 -1 -1 -1 -1  1  1  1 185  4.7      67
  3 -1  1 -1 -1  1 -1  1  1 259  2.7      43
  4  1  1 -1 -1  1  1 -1 -1 318  5.3      72
  5 -1 -1  1 -1  1  1  1 -1 180  7.7      89
  6  1 -1  1 -1  1 -1 -1  1 195  7.7      89
  7 -1  1  1 -1 -1  1 -1  1 246  9.0      96
  8  1  1  1 -1 -1 -1  1 -1 229  3.2      51
  9 -1 -1 -1  1  1  1 -1  1 196 11.5     106
 10  1 -1 -1  1  1 -1  1 -1 203 10.1     100
 11 -1  1 -1  1 -1  1  1 -1 230  2.9      16
 12  1  1 -1  1 -1 -1 -1  1 261 15.3     118
 13 -1 -1  1  1 -1 -1  1  1 168 11.3     105
 14  1 -1  1  1 -1  1 -1 -1 197 11.7     107
 15 -1  1  1  1  1 -1 -1 -1 220 16.0     120
 16  1  1  1  1  1  1  1  1 241  6.8      83
