run x1 x2 x3 x4 ave log100s
  1 -1 -1 -1 -1 367      72
  2  1 -1 -1 -1 369      72
  3 -1  1 -1 -1 374      74
  4  1  1 -1 -1 370      79
  5 -1 -1  1 -1 372      72
  6  1 -1  1 -1 355      81
  7 -1  1  1 -1 397      72
  8  1  1  1 -1 377      99
  9 -1 -1 -1  1 350      90
 10  1 -1 -1  1 373      86
 11 -1  1 -1  1 358      92
 12  1  1 -1  1 363     112
 13 -1 -1  1  1 344      76
 14  1 -1  1  1 355      69
 15 -1  1  1  1 370      91
 16  1  1  1  1 362      71
 17  0  0  0  0 377      51
 18  0  0  0  0 375      74
 19 -2  0  0  0 361     111
 20  2  0  0  0 364      93
 21  0 -2  0  0 355     100
 22  0  2  0  0 373      80
 23  0  0 -2  0 361      71
 24  0  0  2  0 360      98
 25  0  0  0 -2 380      69
 26  0  0  0  2 360      74
 27  0  0  0  0 370      86
 28  0  0  0  0 368      74
 29  0  0  0  0 369      89
 30  0  0  0  0 366      76
