   X3    x1    x2    x3    x4    W    L    w    l ave    s
 5.50  3.73 -2.92 -3.34  2.95 2.91 5.03 0.42 3.48 332 12.7
 4.80  3.37 -2.60 -3.02  2.55 2.82 5.12 0.50 3.28 373  5.8
 4.20  3.05 -2.32 -2.75  2.20 2.74 5.19 0.56 3.10 395  5.9
 3.30  2.59 -1.91 -2.35  1.69 2.64 5.29 0.66 2.85 402  7.5
 2.67  2.25 -1.62 -2.06  1.33 2.57 5.35 0.74 2.67 395  6.6
 1.86  1.83 -1.25 -1.70  0.87 2.49 5.43 0.83 2.44 385  9.0
 0.70  1.23 -0.71 -1.18  0.21 2.38 5.53 0.96 2.11 374 10.2
 0.30  1.03 -0.53 -1.00 -0.02 2.34 5.56 1.00 1.99 372  7.6
 0.00  0.87 -0.39 -0.86 -0.19 2.31 5.59 1.04 1.91 370  6.9
-0.70  0.51 -0.07 -0.55 -0.59 2.25 5.64 1.11 1.71 376  6.3
-1.05  0.32  0.09 -0.39 -0.79 2.22 5.66 1.15 1.61 379  8.4
-1.82 -0.17  0.53  0.04 -1.33 2.15 5.72 1.26 1.34 387  9.0
-2.51 -0.43  0.76  0.27 -1.62 2.11 5.75 1.32 1.19 406  5.4
-3.47 -0.93  1.21  0.70 -2.17 2.04 5.81 1.43 0.92 416  6.2
-3.70 -1.05  1.31  0.81 -2.30 2.02 5.82 1.45 0.85 399  8.8
-4.22 -1.32  1.55  1.04 -2.60 1.99 5.84 1.51 0.70 350 33.2
