run x1 x2 x3 x4 x5 yield
  1 -1 -1 -1 -1  1  49.8
  2  1 -1 -1 -1 -1  51.2
  3 -1  1 -1 -1 -1  50.4
  4  1  1 -1 -1  1  52.4
  5 -1 -1  1 -1 -1  49.2
  6  1 -1  1 -1  1  67.1
  7 -1  1  1 -1  1  59.6
  8  1  1  1 -1 -1  67.9
  9 -1 -1 -1  1 -1  59.3
 10  1 -1 -1  1  1  70.4
 11 -1  1 -1  1  1  69.6
 12  1  1 -1  1 -1  64.0
 13 -1 -1  1  1  1  53.1
 14  1 -1  1  1 -1  63.2
 15 -1  1  1  1 -1  58.4
 16  1  1  1  1  1  64.3
 17  3 -1 -1  1  1  63.0
 18  1 -3 -1  1  1  63.8
 19  1 -1 -3  1  1  53.5
 20  1 -1 -1  3  1  66.8
 21  1 -1 -1  1  3  67.4
