trial X1 X2 X3 X4 X5    x1    x2    x3    x4    x5    y yhat
   22  0  0  0  0  0  1.23 -0.56 -0.03  0.69  0.70 72.3 71.4
   23  2  0  0  0  0  0.77 -0.82  1.48  1.88  0.77 57.1 52.6
   24 -2  0  0  0  0  1.69 -0.30 -1.55 -0.50  0.62 53.4 52.6
   25  0  2  0  0  0  2.53  0.64 -0.10  1.51  1.12 62.3 61.1
   26  0 -2  0  0  0 -0.08 -1.75  0.04 -0.13  0.27 61.3 61.1
   27  0  0  2  0  0  0.78 -0.06  0.47 -0.12  2.32 64.8 66.3
   28  0  0 -2  0  0  1.68 -1.06 -0.54  1.50 -0.93 63.4 66.3
   29  0  0  0  2  0  2.08 -2.05 -0.32  1.00  1.63 72.5 69.5
   39  0  0  0 -2  0  0.38  0.93  0.25  0.38 -0.24 72.0 69.5
   31  0  0  0  0  2  0.15 -0.38 -1.20  1.76  1.24 70.4 72.2
   31  0  0  0  0 -2  2.30 -0.74  1.13 -0.38  0.15 71.8 72.2
