run   x1   x2   x3    y
  1 -1.0 -1.0 -1.0 45.9
  2  1.0 -1.0 -1.0 60.6
  3 -1.0  1.0 -1.0 57.5
  4  1.0  1.0 -1.0 58.6
  5 -1.0 -1.0  1.0 53.3
  6  1.0 -1.0  1.0 58.0
  7 -1.0  1.0  1.0 58.8
  8  1.0  1.0  1.0 52.4
  9  0.0  0.0  0.0 56.9
 10 -2.0  0.0  0.0 46.9
 11  2.0  0.0  0.0 55.4
 12  0.0 -2.0  0.0 55.0
 13  0.0  2.0  0.0 57.5
 14  0.0  0.0 -2.0 56.3
 15  0.0  0.0  2.0 58.9
 16  2.0 -3.0  0.0 61.1
 17  2.0 -3.0  0.0 62.9
 18 -1.4  2.6  0.7 60.0
 19 -1.4  2.6  0.7 60.6
