run x1 x2 x3 x4 x5 x6   y1 y2 y3
  1 -1 -1 -1 -1 -1 -1  3.4 15 36
  2  1 -1 -1 -1 -1 -1  9.7  5 35
  3 -1  1 -1 -1 -1 -1  7.4 23 37
  4  1  1 -1 -1 -1 -1 10.6  8 34
  5 -1 -1  1 -1 -1 -1  6.5 20 30
  6  1 -1  1 -1 -1 -1  7.9  9 32
  7 -1  1  1 -1 -1 -1 10.3 13 28
  8  1  1  1 -1 -1 -1  9.5  5 38
  9 -1 -1 -1  1 -1 -1 14.3 23 40
 10  1 -1 -1  1 -1 -1 10.5  1 32
 11 -1  1 -1  1 -1 -1  7.8 11 32
 12  1  1 -1  1 -1 -1 17.2  5 28
 13 -1 -1  1  1 -1 -1  9.4 15 34
 14  1 -1  1  1 -1 -1 12.1  8 26
 15 -1  1  1  1 -1 -1  9.5 15 30
 16  1  1  1  1 -1 -1 15.8  1 28
 17 -1 -1 -1 -1  1 -1  8.3 22 40
 18  1 -1 -1 -1  1 -1  8.0  8 30
 19 -1  1 -1 -1  1 -1  7.9 16 35
 20  1  1 -1 -1  1 -1 10.7  7 35
 21 -1 -1  1 -1  1 -1  7.2 25 32
 22  1 -1  1 -1  1 -1  7.2  5 35
 23 -1  1  1 -1  1 -1  7.9 17 36
 24  1  1  1 -1  1 -1 10.2  8 32
 25 -1 -1 -1  1  1 -1 10.3 10 20
 26  1 -1 -1  1  1 -1  9.9  3 35
 27 -1  1 -1  1  1 -1  7.4 22 35
 28  1  1 -1  1  1 -1 10.5  6 28
 29 -1 -1  1  1  1 -1  9.6 24 27
 30  1 -1  1  1  1 -1 15.1  4 36
 31 -1  1  1  1  1 -1  8.7 10 36
 32  1  1  1  1  1 -1 12.1  5 35
 33 -1 -1 -1 -1 -1  1 12.6 32 32
 34  1 -1 -1 -1 -1  1 10.5 10 34
 35 -1  1 -1 -1 -1  1 11.3 28 30
 36  1  1 -1 -1 -1  1 10.6 18 24
 37 -1 -1  1 -1 -1  1  8.1 22 30
 38  1 -1  1 -1 -1  1 12.5 31 20
 39 -1  1  1 -1 -1  1 11.1 17 32
 40  1  1  1 -1 -1  1 12.9 16 25
 41 -1 -1 -1  1 -1  1 14.6 38 20
 42  1 -1 -1  1 -1  1 12.7 12 20
 43 -1  1 -1  1 -1  1 10.8 34 22
 44  1  1 -1  1 -1  1 17.1 19 35
 45 -1 -1  1  1 -1  1 13.6 12 26
 46  1 -1  1  1 -1  1 14.6 14 15
 47 -1  1  1  1 -1  1 13.3 25 19
 48  1  1  1  1 -1  1 14.4 16 24
 49 -1 -1 -1 -1  1  1 11.0 31 22
 50  1 -1 -1 -1  1  1 12.5 14 23
 51 -1  1 -1 -1  1  1  8.9 23 22
 52  1  1 -1 -1  1  1 13.1 23 18
 53 -1 -1  1 -1  1  1  7.6 28 20
 54  1 -1  1 -1  1  1  8.6 20 20
 55 -1  1  1 -1  1  1 11.8 18 20
 56  1  1  1 -1  1  1 12.4 11 36
 57 -1 -1 -1  1  1  1 13.4 39 20
 58  1 -1 -1  1  1  1 14.6 30 11
 59 -1  1 -1  1  1  1 14.9 31 20
 60  1  1 -1  1  1  1 11.8  6 35
 61 -1 -1  1  1  1  1 15.6 33 16
 62  1 -1  1  1  1  1 12.8 23 32
 63 -1  1  1  1  1  1 13.5 31 20
 64  1  1  1  1  1  1 15.8 11 20
