run PS SC CY OT LS ST SD  y
  1  1 -1 -1  1  1 -1 -1  8
  2  1 -1 -1  1 -1 -1 -1 NA
  3 -1 -1  1 -1  1 -1 -1  3
  4 -1 -1  1 -1 -1 -1 -1  7
  5  1  1  1 -1  1 -1 -1  0
  6 -1  1  1  1  1 -1 -1  4
  7 -1  1 -1  1 -1 -1 -1  9
  8  1  1 -1 -1 -1 -1 -1  2
  1  1 -1 -1  1  1  0 -1  4
  2  1 -1 -1  1 -1  0 -1 NA
  3 -1 -1  1 -1  1  0 -1  2
  4 -1 -1  1 -1 -1  0 -1  1
  5  1  1  1 -1  1  0 -1  0
  6 -1  1  1  1  1  0 -1  0
  7 -1  1 -1  1 -1  0 -1  1
  8  1  1 -1 -1 -1  0 -1  1
  1  1 -1 -1  1  1  1 -1 NA
  2  1 -1 -1  1 -1  1 -1 NA
  3 -1 -1  1 -1  1  1 -1  1
  4 -1 -1  1 -1 -1  1 -1  1
  5  1  1  1 -1  1  1 -1  0
  6 -1  1  1  1  1  1 -1  0
  7 -1  1 -1  1 -1  1 -1  0
  8  1  1 -1 -1 -1  1 -1  3
  1  1 -1 -1  1  1 -1  1  0
  2  1 -1 -1  1 -1 -1  1 NA
  3 -1 -1  1 -1  1 -1  1  1
  4 -1 -1  1 -1 -1 -1  1  2
  5  1  1  1 -1  1 -1  1  0
  6 -1  1  1  1  1 -1  1  1
  7 -1  1 -1  1 -1 -1  1  4
  8  1  1 -1 -1 -1 -1  1  1
  1  1 -1 -1  1  1  0  1 NA
  2  1 -1 -1  1 -1  0  1 NA
  3 -1 -1  1 -1  1  0  1  0
  4 -1 -1  1 -1 -1  0  1  0
  5  1  1  1 -1  1  0  1  0
  6 -1  1  1  1  1  0  1  1
  7 -1  1 -1  1 -1  0  1  5
  8  1  1 -1 -1 -1  0  1  0
  1  1 -1 -1  1  1  1  1  7
  2  1 -1 -1  1 -1  1  1 NA
  3 -1 -1  1 -1  1  1  1  0
  4 -1 -1  1 -1 -1  1  1  4
  5  1  1  1 -1  1  1  1  1
  6 -1  1  1  1  1  1  1  1
  7 -1  1 -1  1 -1  1  1  1
  8  1  1 -1 -1 -1  1  1  0
