product  A  B  C  D  T  H  R  y
      1 -1 -1 -1 -1 -1 -1  1 88
      2  1 -1 -1  1 -1 -1  1 80
      3 -1  1 -1  1 -1 -1  1 90
      4  1  1 -1 -1 -1 -1  1 95
      5 -1 -1  1  1 -1 -1  1 84
      6  1 -1  1 -1 -1 -1  1 85
      7 -1  1  1 -1 -1 -1  1 91
      8  1  1  1  1 -1 -1  1 89
      1 -1 -1 -1 -1  1 -1 -1 85
      2  1 -1 -1  1  1 -1 -1 77
      3 -1  1 -1  1  1 -1 -1 84
      4  1  1 -1 -1  1 -1 -1 87
      5 -1 -1  1  1  1 -1 -1 82
      6  1 -1  1 -1  1 -1 -1 84
      7 -1  1  1 -1  1 -1 -1 93
      8  1  1  1  1  1 -1 -1 88
      1 -1 -1 -1 -1 -1  1 -1 88
      2  1 -1 -1  1 -1  1 -1 80
      3 -1  1 -1  1 -1  1 -1 91
      4  1  1 -1 -1 -1  1 -1 93
      5 -1 -1  1  1 -1  1 -1 83
      6  1 -1  1 -1 -1  1 -1 82
      7 -1  1  1 -1 -1  1 -1 92
      8  1  1  1  1 -1  1 -1 89
      1 -1 -1 -1 -1  1  1  1 85
      2  1 -1 -1  1  1  1  1 76
      3 -1  1 -1  1  1  1  1 86
      4  1  1 -1 -1  1  1  1 88
      5 -1 -1  1  1  1  1  1 84
      6  1 -1  1 -1  1  1  1 82
      7 -1  1  1 -1  1  1  1 92
      8  1  1  1  1  1  1  1 87
