  t   y
  1  80
  2  92
  3  98
  4  56
  5  92
  6  82
  7  79
  8  83
  9  73
 10  80
 11  83
 12  99
 13  87
 14  83
 15  86
 16  66
 17  69
 18  67
 19  74
 20  74
 21  93
 22  92
 23  79
 24  78
 25  78
 26  68
 27  81
 28  77
 29  70
 30  82
 31  88
 32  79
 33  87
 34  83
 35  74
 36  74
 37  88
 38  84
 39  87
 40  82
 41  85
 42  95
 43  93
 44  97
 45  80
 46 105
 47  84
 48  83
 49  89
 50  90
 51  70
 52  93
 53 106
 54  71
 55 103
 56  68
 57  64
 58  84
 59  79
 60  80
 61  73
 62  85
 63 104
 64  83
 65  62
 66  96
 67  81
 68  92
 69  79
 70 104
 71  74
 72  84
 73 104
 74  86
 75  70
 76  91
 77  71
 78  77
 79  64
 80  66
 81  83
 82  92
 83  86
 84  87
 85  87
 86  93
 87  69
 88  73
 89  61
 90  82
 91  75
 92  80
 93  64
 94  97
 95  81
 96  78
 97  97
 98  56
 99  83
100  88
