carro	dono	item	nota
gol	1	Estilo	8
gol	1	Acabamento	7
gol	1	Posição de dirigir	9
gol	1	Instrumentos	8
gol	1	Interior	7
gol	1	Porta-malas	7
gol	1	Desempenho	9
gol	1	Motor	9
gol	1	Câmbio	10
gol	1	Freios	7
gol	1	Suspensão	9
gol	1	Consumo	10
gol	1	Estabilidade	9
gol	1	Custo-Benefício 	9
gol	1	Recomendação	9
gol	2	Estilo	9
gol	2	Acabamento	1
gol	2	Posição de dirigir	8
gol	2	Instrumentos	6
gol	2	Interior	6
gol	2	Porta-malas	6
gol	2	Desempenho	8
gol	2	Motor	8
gol	2	Câmbio	9
gol	2	Freios	6
gol	2	Suspensão	3
gol	2	Consumo	0
gol	2	Estabilidade	8
gol	2	Custo-Benefício 	8
gol	2	Recomendação	7
gol	3	Estilo	9
gol	3	Acabamento	7
gol	3	Posição de dirigir	7
gol	3	Instrumentos	10
gol	3	Interior	6
gol	3	Porta-malas	6
gol	3	Desempenho	7
gol	3	Motor	7
gol	3	Câmbio	10
gol	3	Freios	7
gol	3	Suspensão	7
gol	3	Consumo	7
gol	3	Estabilidade	7
gol	3	Custo-Benefício 	8
gol	3	Recomendação	8
gol	4	Estilo	10
gol	4	Acabamento	6
gol	4	Posição de dirigir	6
gol	4	Instrumentos	10
gol	4	Interior	8
gol	4	Porta-malas	5
gol	4	Desempenho	8
gol	4	Motor	10
gol	4	Câmbio	10
gol	4	Freios	10
gol	4	Suspensão	6
gol	4	Consumo	8
gol	4	Estabilidade	7
gol	4	Custo-Benefício 	8
gol	4	Recomendação	8
gol	5	Estilo	8
gol	5	Acabamento	4
gol	5	Posição de dirigir	7
gol	5	Instrumentos	9
gol	5	Interior	8
gol	5	Porta-malas	7
gol	5	Desempenho	3
gol	5	Motor	7
gol	5	Câmbio	7
gol	5	Freios	8
gol	5	Suspensão	8
gol	5	Consumo	5
gol	5	Estabilidade	8
gol	5	Custo-Benefício 	6
gol	5	Recomendação	7
gol	6	Estilo	8
gol	6	Acabamento	7
gol	6	Posição de dirigir	5
gol	6	Instrumentos	9
gol	6	Interior	6
gol	6	Porta-malas	8
gol	6	Desempenho	5
gol	6	Motor	8
gol	6	Câmbio	9
gol	6	Freios	10
gol	6	Suspensão	8
gol	6	Consumo	9
gol	6	Estabilidade	9
gol	6	Custo-Benefício 	8
gol	6	Recomendação	7
gol	7	Estilo	10
gol	7	Acabamento	4
gol	7	Posição de dirigir	6
gol	7	Instrumentos	8
gol	7	Interior	5
gol	7	Porta-malas	4
gol	7	Desempenho	5
gol	7	Motor	7
gol	7	Câmbio	10
gol	7	Freios	10
gol	7	Suspensão	5
gol	7	Consumo	7
gol	7	Estabilidade	10
gol	7	Custo-Benefício 	6
gol	7	Recomendação	9
gol	8	Estilo	9
gol	8	Acabamento	6
gol	8	Posição de dirigir	7
gol	8	Instrumentos	9
gol	8	Interior	7
gol	8	Porta-malas	7
gol	8	Desempenho	10
gol	8	Motor	9
gol	8	Câmbio	8
gol	8	Freios	7
gol	8	Suspensão	6
gol	8	Consumo	7
gol	8	Estabilidade	8
gol	8	Custo-Benefício 	9
gol	8	Recomendação	8
gol	9	Estilo	6
gol	9	Acabamento	5
gol	9	Posição de dirigir	6
gol	9	Instrumentos	5
gol	9	Interior	4
gol	9	Porta-malas	6
gol	9	Desempenho	7
gol	9	Motor	7
gol	9	Câmbio	7
gol	9	Freios	5
gol	9	Suspensão	6
gol	9	Consumo	6
gol	9	Estabilidade	8
gol	9	Custo-Benefício 	1
gol	9	Recomendação	0
gol	10	Estilo	10
gol	10	Acabamento	6
gol	10	Posição de dirigir	4
gol	10	Instrumentos	5
gol	10	Interior	4
gol	10	Porta-malas	3
gol	10	Desempenho	0
gol	10	Motor	2
gol	10	Câmbio	10
gol	10	Freios	6
gol	10	Suspensão	2
gol	10	Consumo	0
gol	10	Estabilidade	6
gol	10	Custo-Benefício 	1
gol	10	Recomendação	0
gol	11	Estilo	10
gol	11	Acabamento	10
gol	11	Posição de dirigir	10
gol	11	Instrumentos	10
gol	11	Interior	9
gol	11	Porta-malas	8
gol	11	Desempenho	10
gol	11	Motor	10
gol	11	Câmbio	10
gol	11	Freios	10
gol	11	Suspensão	8
gol	11	Consumo	7
gol	11	Estabilidade	10
gol	11	Custo-Benefício 	8
gol	11	Recomendação	9
gol	12	Estilo	9
gol	12	Acabamento	8
gol	12	Posição de dirigir	7
gol	12	Instrumentos	8
gol	12	Interior	6
gol	12	Porta-malas	6
gol	12	Desempenho	6
gol	12	Motor	10
gol	12	Câmbio	9
gol	12	Freios	9
gol	12	Suspensão	6
gol	12	Consumo	9
gol	12	Estabilidade	9
gol	12	Custo-Benefício 	9
gol	12	Recomendação	9
gol	13	Estilo	7
gol	13	Acabamento	7
gol	13	Posição de dirigir	5
gol	13	Instrumentos	6
gol	13	Interior	4
gol	13	Porta-malas	6
gol	13	Desempenho	4
gol	13	Motor	6
gol	13	Câmbio	7
gol	13	Freios	7
gol	13	Suspensão	7
gol	13	Consumo	8
gol	13	Estabilidade	6
gol	13	Custo-Benefício 	6
gol	13	Recomendação	6
gol	14	Estilo	7
gol	14	Acabamento	7
gol	14	Posição de dirigir	6
gol	14	Instrumentos	7
gol	14	Interior	5
gol	14	Porta-malas	4
gol	14	Desempenho	4
gol	14	Motor	7
gol	14	Câmbio	8
gol	14	Freios	8
gol	14	Suspensão	6
gol	14	Consumo	7
gol	14	Estabilidade	6
gol	14	Custo-Benefício 	6
gol	14	Recomendação	7
gol	15	Estilo	7
gol	15	Acabamento	2
gol	15	Posição de dirigir	2
gol	15	Instrumentos	6
gol	15	Interior	1
gol	15	Porta-malas	5
gol	15	Desempenho	8
gol	15	Motor	7
gol	15	Câmbio	4
gol	15	Freios	6
gol	15	Suspensão	3
gol	15	Consumo	8
gol	15	Estabilidade	9
gol	15	Custo-Benefício 	4
gol	15	Recomendação	4
gol	16	Estilo	7
gol	16	Acabamento	5
gol	16	Posição de dirigir	6
gol	16	Instrumentos	8
gol	16	Interior	6
gol	16	Porta-malas	2
gol	16	Desempenho	8
gol	16	Motor	9
gol	16	Câmbio	9
gol	16	Freios	9
gol	16	Suspensão	2
gol	16	Consumo	9
gol	16	Estabilidade	8
gol	16	Custo-Benefício 	8
gol	16	Recomendação	7
gol	17	Estilo	9
gol	17	Acabamento	7
gol	17	Posição de dirigir	9
gol	17	Instrumentos	10
gol	17	Interior	8
gol	17	Porta-malas	7
gol	17	Desempenho	6
gol	17	Motor	8
gol	17	Câmbio	8
gol	17	Freios	8
gol	17	Suspensão	8
gol	17	Consumo	8
gol	17	Estabilidade	8
gol	17	Custo-Benefício 	8
gol	17	Recomendação	8
gol	18	Estilo	5
gol	18	Acabamento	5
gol	18	Posição de dirigir	7
gol	18	Instrumentos	7
gol	18	Interior	7
gol	18	Porta-malas	7
gol	18	Desempenho	9
gol	18	Motor	8
gol	18	Câmbio	9
gol	18	Freios	8
gol	18	Suspensão	9
gol	18	Consumo	10
gol	18	Estabilidade	9
gol	18	Custo-Benefício 	8
gol	18	Recomendação	8
gol	19	Estilo	9
gol	19	Acabamento	8
gol	19	Posição de dirigir	9
gol	19	Instrumentos	1
gol	19	Interior	9
gol	19	Porta-malas	7
gol	19	Desempenho	10
gol	19	Motor	10
gol	19	Câmbio	10
gol	19	Freios	10
gol	19	Suspensão	10
gol	19	Consumo	9
gol	19	Estabilidade	10
gol	19	Custo-Benefício 	9
gol	19	Recomendação	9
gol	20	Estilo	7
gol	20	Acabamento	2
gol	20	Posição de dirigir	7
gol	20	Instrumentos	8
gol	20	Interior	8
gol	20	Porta-malas	5
gol	20	Desempenho	9
gol	20	Motor	9
gol	20	Câmbio	9
gol	20	Freios	6
gol	20	Suspensão	8
gol	20	Consumo	8
gol	20	Estabilidade	8
gol	20	Custo-Benefício 	7
gol	20	Recomendação	7
gol	21	Estilo	9
