"aluguel";"metragem";"ano";"aquecimento";"loc"
693,3;50;1972;0;"Média"
422;54;1972;0;"Média"
736,6;70;1972;0;"Média"
732,2;50;1972;0;"Média"
1295,1;55;1893;0;"Média"
1195,9;59;1893;0;"Média"
395;46;1957;1;"Média"
1285,6;94;1972;0;"Média"
1175,4;93;1972;0;"Média"
860;65;1967;0;"Média"
709,6;36;1972;0;"Média"
852,7;33;1972;0;"Média"
657,4;57;1985;0;"Média"
1310,2;76;1985;0;"Média"
1237,8;75;1985;0;"Média"
1212;83;1985;0;"Média"
1511,2;83;1985;0;"Média"
662,2;100;1957;0;"Média"
527,5;50;1957;0;"Média"
615,1;63;1972;0;"Média"
852,3;93;1972;0;"Média"
812,8;93;1972;0;"Média"
798,3;83;1972;0;"Média"
517,2;79;1972;0;"Média"
593,1;79;1972;0;"Média"
2869,9;90;1985;0;"Alta"
1623,6;60;1985;0;"Alta"
837,8;76;1957;0;"Baixa"
750,2;75;1957;0;"Baixa"
875,1;104;1957;0;"Baixa"
809,7;79;1957;0;"Baixa"
765,4;93;1972;0;"Baixa"
1165,6;90;1961;0;"Média"
422,8;50;1957;1;"Média"
490,7;63;1893;1;"Média"
813,3;120;1893;1;"Média"
480,3;40;1959;0;"Média"
1454,1;74;1957;0;"Média"
537;76;1957;0;"Média"
759,2;76;1957;0;"Média"
700;36;1965;0;"Média"
1127,8;62;1972;0;"Média"
1090,4;99;1893;0;"Média"
670,9;59;1957;1;"Média"
349,9;33;1893;1;"Média"
380;40;1911;1;"Média"
1174,6;92;1934;1;"Média"
673,8;69;1934;1;"Média"
566,4;70;1893;1;"Média"
334,3;54;1957;1;"Média"
267,8;51;1957;1;"Média"
783,7;73;1972;0;"Média"
240,4;68;1893;1;"Média"
1030;56;1972;0;"Média"
452,7;32;1972;0;"Média"
900;55;1972;0;"Média"
925,4;45;1956;0;"Média"
695,2;55;1985;0;"Média"
928,7;54;1981;0;"Média"
1204,4;79;1981;0;"Média"
1004,5;50;1981;0;"Média"
1300,2;75;1956;0;"Média"
785;68;1972;0;"Média"
526,4;68;1972;0;"Média"
820;73;1955;1;"Baixa"
688,3;69;1957;1;"Média"
1689,7;60;1964;1;"Média"
554,6;43;1962;0;"Média"
664,1;50;1962;0;"Média"
765,7;82;1962;0;"Média"
736;62;1957;0;"Média"
614,4;110;1972;0;"Baixa"
779,8;65;1972;0;"Média"
721,2;52;1959;0;"Média"
239,3;45;1934;1;"Média"
489,7;39;1957;0;"Alta"
421,6;40;1957;0;"Alta"
799,6;52;1957;0;"Alta"
566,2;56;1957;0;"Alta"
421,3;52;1957;0;"Alta"
1078;80;1981;0;"Média"
477,3;30;1981;0;"Média"
1092,4;84;1976;0;"Média"
449,9;35;1981;0;"Média"
982;65;1963;0;"Alta"
679,5;69;1957;0;"Alta"
583,4;67;1972;0;"Alta"
485,1;67;1972;0;"Alta"
1203,6;89;1934;0;"Alta"
720,2;95;1934;0;"Alta"
705,8;84;1934;0;"Alta"
610,1;59;1941;0;"Alta"
761,7;60;1934;1;"Alta"
1030;60;1988;0;"Média"
774;60;1988;0;"Média"
1220;82;1988;0;"Média"
776,6;68;1972;0;"Alta"
1720,8;100;1972;0;"Alta"
970;80;1972;0;"Alta"
800;68;1972;0;"Alta"
658,4;55;1939;1;"Alta"
955,8;49;1972;0;"Alta"
1164,2;55;1972;0;"Alta"
765;62;1972;0;"Alta"
337,7;35;1957;1;"Alta"
375,7;35;1957;1;"Alta"
347,9;45;1957;1;"Alta"
443,4;35;1957;1;"Alta"
366,5;80;1893;1;"Média"
1348,5;106;1893;0;"Média"
852,5;112;1893;1;"Média"
569,5;36;1972;0;"Alta"
681,5;73;1972;0;"Alta"
1063;74;1972;0;"Alta"
767,3;42;1972;0;"Alta"
666,5;30;1972;0;"Alta"
679,8;35;1972;0;"Alta"
752;40;1972;0;"Alta"
799,8;64;1957;0;"Alta"
681,3;72;1957;0;"Alta"
564,5;41;1957;0;"Alta"
1014,6;71;1957;0;"Alta"
808,8;55;1957;0;"Alta"
983,6;78;1972;0;"Média"
1408,9;74;1972;0;"Média"
685,4;86;1972;0;"Média"
1054,9;86;1957;0;"Média"
661,2;55;1981;0;"Média"
748;89;1981;0;"Média"
1015,6;90;1981;0;"Média"
869,8;82;1981;0;"Média"
584,2;44;1972;0;"Média"
557,5;33;1972;0;"Média"
506,6;37;1972;0;"Média"
447,6;77;1970;0;"Média"
609,3;56;1972;0;"Média"
756,1;55;1972;0;"Média"
385,5;77;1970;0;"Média"
720;83;1972;0;"Média"
1165,1;55;1988;0;"Média"
553,5;71;1988;0;"Média"
665,1;70;1957;0;"Média"
705,6;50;1957;0;"Média"
669,5;82;1985;0;"Média"
975,5;60;1972;0;"Média"
874;55;1973;0;"Média"
1386,4;60;1973;0;"Média"
703,8;34;1972;0;"Média"
521,9;34;1972;0;"Média"
822,2;83;1981;0;"Média"
756,7;76;1981;0;"Média"
1061,8;77;1981;0;"Média"
724,2;77;1979;0;"Média"
865,5;83;1979;0;"Média"
541,3;49;1981;0;"Média"
744,1;84;1972;0;"Média"
789,7;85;1979;0;"Média"
635,1;95;1981;0;"Média"
815;93;1957;0;"Média"
614,5;61;1957;0;"Baixa"
571,3;61;1957;0;"Baixa"
529,3;87;1893;1;"Média"
277,7;46;1916;1;"Média"
406,6;57;1893;1;"Média"
340,2;68;1893;1;"Média"
643,9;84;1893;0;"Média"
921,7;86;1893;0;"Média"
382;70;1957;1;"Média"
1285,1;72;1972;0;"Média"
703;55;1957;0;"Média"
449,8;43;1958;0;"Média"
382;56;1957;0;"Média"
891,9;56;1972;0;"Média"
755;64;1957;1;"Média"
1410,7;106;1934;0;"Média"
228,7;37;1957;1;"Média"
500,6;57;1957;1;"Média"
563,5;51;1893;0;"Média"
1234,5;85;1893;0;"Média"
635,9;65;1934;1;"Média"
533,1;44;1935;0;"Média"
535;44;1935;0;"Média"
488,1;43;1935;1;"Média"
682,9;72;1893;1;"Média"
563,1;100;1934;1;"Baixa"
430;50;1957;1;"Baixa"
436,7;60;1957;1;"Baixa"
473,2;80;1957;1;"Baixa"
450,4;80;1893;0;"Baixa"
1094,8;56;1893;0;"Média"
699,6;80;1934;0;"Média"
541,2;31;1957;0;"Média"
675;35;1972;0;"Média"
712,1;80;1972;0;"Média"
680,9;74;1972;0;"Média"
478,4;75;1957;0;"Média"
758,6;67;1966;0;"Média"
1039,1;61;1988;0;"Média"
582;110;1893;0;"Média"
919,5;63;1957;0;"Alta"
286;55;1957;1;"Média"
693,5;54;1957;0;"Média"
515;76;1957;0;"Média"
419;76;1957;0;"Média"
538,6;30;1957;0;"Alta"
475,3;36;1958;0;"Alta"
820;59;1957;0;"Baixa"
796,5;42;1893;1;"Baixa"
1405,6;119;1934;0;"Média"
645,9;43;1957;1;"Média"
1398,5;70;1957;0;"Média"
1626,9;66;1957;0;"Média"
576,6;71;1893;1;"Baixa"
353,6;48;1934;0;"Baixa"
230,8;46;1934;1;"Baixa"
907;80;1957;0;"Média"
680;62;1932;0;"Média"
350;39;1934;0;"Média"
409;49;1932;0;"Média"
360;37;1932;0;"Média"
558,1;34;1972;0;"Média"
480,7;30;1972;0;"Média"
876;55;1954;0;"Média"
668,3;48;1988;0;"Média"
975,7;61;1988;0;"Média"
1328,1;98;1988;0;"Média"
1416,5;86;1981;0;"Média"
1241,1;87;1981;0;"Média"
778,3;60;1981;0;"Média"
239,3;40;1957;0;"Média"
400,9;73;1957;0;"Média"
661;72;1919;1;"Média"
400;40;1934;1;"Média"
338,9;35;1934;1;"Média"
289,9;35;1934;1;"Média"
1909;104;1981;0;"Média"
1521,7;102;1981;0;"Média"
700;57;1957;1;"Média"
461,7;40;1920;0;"Média"
941,8;56;1957;0;"Média"
987;68;1957;0;"Alta"
1217,4;62;1972;0;"Alta"
426,8;67;1972;0;"Alta"
530,2;40;1972;0;"Alta"
853;84;1972;0;"Alta"
982,7;79;1957;0;"Alta"
629,3;62;1957;0;"Média"
1685,5;103;1985;0;"Alta"
1590,4;116;1934;0;"Média"
469,4;84;1934;0;"Média"
500;32;1972;0;"Alta"
510,2;34;1972;0;"Alta"
775,2;72;1972;0;"Alta"
376,7;38;1957;0;"Alta"
516,3;47;1957;0;"Alta"
1210,8;71;1972;0;"Alta"
559,2;78;1957;0;"Alta"
408;34;1957;0;"Alta"
1347,3;48;1985;0;"Média"
926,3;74;1957;0;"Média"
1172,3;85;1972;0;"Média"
