	A	B	C	D	E	y
(1)	-1	-1	-1	-1	-1	700
a	1	-1	-1	-1	-1	900
b	-1	1	-1	-1	-1	3400
ab	1	1	-1	-1	-1	5500
c	-1	-1	1	-1	-1	600
ac	1	-1	1	-1	-1	1000
bc	-1	1	1	-1	-1	3000
abc	1	1	1	-1	-1	5300
d	-1	-1	-1	1	-1	1000
ad	1	-1	-1	1	-1	1100
bd	-1	1	-1	1	-1	3000
abd	1	1	-1	1	-1	6100
cd	-1	-1	1	1	-1	800
acd	1	-1	1	1	-1	1100
bcd	-1	1	1	1	-1	3300
abcd	1	1	1	1	-1	6000
e	-1	-1	-1	-1	1	800
ae	1	-1	-1	-1	1	1200
be	-1	1	-1	-1	1	3500
abe	1	1	-1	-1	1	6200
ce	-1	-1	1	-1	1	600
ace	1	-1	1	-1	1	1200
bce	-1	1	1	-1	1	3006
abce	1	1	1	-1	1	5500
de	-1	-1	-1	1	1	1900
ade	1	-1	-1	1	1	1500
bde	-1	1	-1	1	1	4000
abde	1	1	-1	1	1	6500
cde	-1	-1	1	1	1	1500
acde	1	-1	1	1	1	2000
bcde	-1	1	1	1	1	3400
abcde	1	1	1	1	1	6800

