"A" "B" "C" "D" "E" "Y"
"(1)" -1 -1 -1 -1 -1 7
"a" 1 -1 -1 -1 -1 9
"b" -1 1 -1 -1 -1 34
"ab" 1 1 -1 -1 -1 55
"c" -1 -1 1 -1 -1 16
"ac" 1 -1 1 -1 -1 20
"bc" -1 1 1 -1 -1 40
"abc" 1 1 1 -1 -1 60
"d" -1 -1 -1 1 -1 8
"ad" 1 -1 -1 1 -1 10
"bd" -1 1 -1 1 -1 32
"abd" 1 1 -1 1 -1 50
"cd" -1 -1 1 1 -1 18
"acd" 1 -1 1 1 -1 21
"bcd" -1 1 1 1 -1 44
"abcd" 1 1 1 1 -1 61
"e" -1 -1 -1 -1 1 8
"ae" 1 -1 -1 -1 1 12
"be" -1 1 -1 -1 1 35
"abe" 1 1 -1 -1 1 52
"ce" -1 -1 1 -1 1 15
"ace" 1 -1 1 -1 1 22
"bce" -1 1 1 -1 1 45
"abce" 1 1 1 -1 1 65
"de" -1 -1 -1 1 1 6
"ade" 1 -1 -1 1 1 10
"bde" -1 1 -1 1 1 30
"abde" 1 1 -1 1 1 53
"cde" -1 -1 1 1 1 15
"acde" 1 -1 1 1 1 20
"bcde" -1 1 1 1 1 41
"abcde" 1 1 1 1 1 63
