## Mongomery, Design and Analysis of experiments, 5 ed. ex. 6-21
A	B	C	D	E	y
-1	-1	-1	-1	-1	7
1	-1	-1	-1	-1	9
-1	1	-1	-1	-1	34
1	1	-1	-1	-1	55
-1	-1	1	-1	-1	16
1	-1	1	-1	-1	20
-1	1	1	-1	-1	40
1	1	1	-1	-1	60
-1	-1	-1	1	-1	8
1	-1	-1	1	-1	10
-1	1	-1	1	-1	32
1	1	-1	1	-1	50
-1	-1	1	1	-1	18
1	-1	1	1	-1	21
-1	1	1	1	-1	44
1	1	1	1	-1	61
-1	-1	-1	-1	1	8
1	-1	-1	-1	1	12
-1	1	-1	-1	1	35
1	1	-1	-1	1	52
-1	-1	1	-1	1	15
1	-1	1	-1	1	22
-1	1	1	-1	1	45
1	1	1	-1	1	65
-1	-1	-1	1	1	6
1	-1	-1	1	1	10
-1	1	-1	1	1	30
1	1	-1	1	1	53
-1	-1	1	1	1	15
1	-1	1	1	1	20
-1	1	1	1	1	41
1	1	1	1	1	63
