A	B	C	D	y
-1	-1	-1	-1	7.037
1	-1	-1	-1	14.707
-1	1	-1	-1	11.635
1	1	-1	-1	17.273
-1	-1	1	-1	10.403
1	-1	1	-1	4.368
-1	1	1	-1	9.36
1	1	1	-1	13.44
-1	-1	-1	1	8.561
1	-1	-1	1	16.867
-1	1	-1	1	13.876
1	1	-1	1	19.824
-1	-1	1	1	11.846
1	-1	1	1	6.125
-1	1	1	1	11.19
1	1	1	1	15.653
-1	-1	-1	-1	6.376
1	-1	-1	-1	15.219
-1	1	-1	-1	12.089
1	1	-1	-1	17.815
-1	-1	1	-1	10.151
1	-1	1	-1	4.098
-1	1	1	-1	9.253
1	1	1	-1	12.923
-1	-1	-1	1	8.951
1	-1	-1	1	17.052
-1	1	-1	1	13.658
1	1	-1	1	19.639
-1	-1	1	1	12.337
1	-1	1	1	5.904
-1	1	1	1	10.935
1	1	1	1	15.053

