A	B	C	D	E	Resistência
-1	-1	-1	-1	-1	680.45
1	-1	-1	-1	-1	722.48
-1	1	-1	-1	-1	702.14
1	1	-1	-1	-1	666.93
-1	-1	1	-1	-1	703.67
1	-1	1	-1	-1	642.14
-1	1	1	-1	-1	692.98
1	1	1	-1	-1	669.26
-1	-1	-1	1	-1	491.58
1	-1	-1	1	-1	475.52
-1	1	-1	1	-1	478.76
1	1	-1	1	-1	568.23
-1	-1	1	1	-1	444.72
1	-1	1	1	-1	410.37
-1	1	1	1	-1	428.51
1	1	1	1	-1	491.47
-1	-1	-1	-1	1	607.34
1	-1	-1	-1	1	620.8
-1	1	-1	-1	1	610.55
1	1	-1	-1	1	638.04
-1	-1	1	-1	1	585.19
1	-1	1	-1	1	586.17
-1	1	1	-1	1	601.67
1	1	1	-1	1	608.31
-1	-1	-1	1	1	442.9
1	-1	-1	1	1	434.41
-1	1	-1	1	1	417.66
1	1	-1	1	1	510.84
-1	-1	1	1	1	392.11
1	-1	1	1	1	343.22
-1	1	1	1	1	385.52
1	1	1	1	1	446.73

